Assignment batch,Merge date,"Labelers (Safwat,Atish, Hasan, Emma, Chris, Kevin)",PR Id,PR Link,Issue Summary,Issue type,Broader issue type,Detailed Code Change Description,User Demographic,Buggy Lines,Fixed Lines,Notes,Include?,Disagreement?
2025,2025,"Chris,Emma,Lisa",2508151957,https://github.com/adaptlearning/adapt-contrib-matching/pull/195,"Focus outline, when using keyboard, is explicitly disabled for each dropdown",focus element,Focus management,changed outline to 0px,"visual impairments, motor impairments",less/dropdown.less:4,"N/A, buggy line was removed",,1,
2025,2025,"Chris,Samar,Emma,Lisa",500942454,https://github.com/ONSdigital/design-system/pull/618,"""Hide this"" button isnt descriptive to screen reader users",assistive text,Screen reader information,Every 'hide this' button used in the details component requires a params.button.contextSuffix value (e.g. 'content') to build a readable string of context for screen readers,visual impairments,src/components/details/examples/details/index.njk:9;src/components/details/_macro.njk:42,src/components/button/_macro.njk:24-26;src/components/details/_macro.njk:42-43;src/components/details/examples/details/index.njk:9-10,,1,
2025,2025,"Chris,Emma,Lisa",1348102534,https://github.com/ONSdigital/design-system/pull/2420,ensure all webpages have readable titles and h1 headings,screen reader,Screen reader information,updated the webpages for titles and headings to make them more accessible for screen readers,visual impairments,src/views/layouts/_example.njk:3-5:9,src/views/layouts/_example.njk:6;src/views/layouts/_master.njk:10-26,,1,
2025,2025,"Chris,Emma,Lisa",990209372,https://github.com/mavenlink/design-system/pull/375,escape not working correctly for dropdown menu becuase the select consumes a keydown event when menu is open,keyboard navigation,Keyboard navigation,Added conditional if the options are shown and stops propagation of escape event,"visual impairments, motor impairments",src/components/control/select.jsx:86,src/components/control/select.jsx:86-88,,1,
2025,2025,"Chris,Samar,Emma,Lisa",475974438,https://github.com/topcoder-platform/community-app/pull/3191,Improve assistive text for logo,aria label,Screen reader information,Added title to html element and updated the aria-lable to be more descriptive,visual impairments,src/shared/components/TopcoderHeader/index.jsx:354-355,src/shared/components/TopcoderHeader/index.jsx:354-355,,1,
2025,2025,"Chris,Samar,Emma,Lisa",1321176485,https://github.com/mozilla/pdf.js/pull/15237,Add aria-owns attributes to provide annotations for text elements to visually impaired users ,aria label,Screen reader information,Add aria-owns attributes to provide annotations for text elements to visually impaired users ,visual impairments,many,many,,1,
2025,2025,"Chris,Samar,Emma,Lisa",1979338030,https://github.com/transloadit/uppy/pull/4777,Color contrast not compliant with WCAG,color contrast,Color contrast,Update the contrast of buttonImport element by changing the blue color,visual impairments,packages/@uppy/core/src/_variables.scss:19;packages/@uppy/dashboard/src/style.scss:384;packages/@uppy/dashboard/src/style.scss:29,packages/@uppy/core/src/_variables.scss:19;packages/@uppy/dashboard/src/style.scss:384;packages/@uppy/dashboard/src/style.scss:29,,1,
2025,2025,"Chris,Samar,Emma,Lisa",3019067117,https://github.com/Leaflet/Leaflet/pull/9688,Improves keyboard accessibility by letting assistive technology know which key shortcuts are available through aria-keyshortcuts,aria label,Screen reader information,added ariaKeyShortcuts to keyboard map container,"visual impairments, motor impairments",src/map/handler/Map.Keyboard.js:49,src/map/handler/Map.Keyboard.js:51,,1,
2025,2025,"Samar,Emma",926131870,https://github.com/alphagov/govuk-frontend/pull/2257,"the section headings in accordions can be mistaken for links, but are treated as buttons - this fails WCAG 2.1 success criterion 1.3.1 Info and Relationship + differences in accordion designs also confuse users with screen reader issues",screen reader,Screen reader information,"An ""Show all sections"" button is added to the top of the accordion, Add focus states around inner Content, Add Hidden ""this section"" > Show[ this section], Add Wrapper for all inner ""[icon] Show [this section]"" elements called toggle text",visual impairments,"6791ee85ff3afaeaf193a7d91d3998f3a183ce16:src/govuk/components/accordion/accordion.js: 30-31, 34",,,1,
2025,2025,"Samar,Emma",1701725770,https://github.com/ONSdigital/design-system/pull/2648,Multiple nav elements for a single navigation menu,screen reader,Screen reader information,"allow headings in section navigation, allow mulitple sections in section navigation","visual impairments, motor impairments",,,,1,
